level,list,gid,role,priority,seed_money
0,кассир,100000008733194100,transit,0.4639,2009
0,кассир,100000004070318100,distributor,0.6881,65292
0,кассир,100000008636603100,peripheral,0.342,11506
0,кассир,100000003823811100,peripheral,0.3068,10603
0,кассир,100000008304139100,distributor,0.6695,23934
0,кассир,100000005287097100,peripheral,0.4509,111179
0,кассир,100000005910114100,distributor,0.6393,2783
0,кассир,100000004390333100,peripheral,0.404,45767
0,кассир,100000003796063100,distributor,0.629,2484
0,кассир,100000004394765100,peripheral,0.5424,454035
0,кассир,100000008254069100,peripheral,0.3505,9075
0,кассир,100000000089154100,distributor,0.6195,10000
0,кассир,100000004707703100,transit,0.6005,239278
0,кассир,100000003213473100,distributor,0.5793,49
0,кассир,100000005481280100,peripheral,0.2705,906
0,кассир,100000008169544100,peripheral,0.4113,137104
0,кассир,100000007639767100,peripheral,0.3996,23509
0,кандидат в курьеры,100000002812641100,transit,0.3038,7275
0,кандидат в курьеры,100000003988112100,peripheral,0.2722,32516
0,кандидат в курьеры,100000001597505100,peripheral,0.2728,3940
0,кандидат в курьеры,100000008721637100,peripheral,0.2937,160
0,кандидат в курьеры,100000002592567100,peripheral,0.2792,5297
0,кандидат в курьеры,100000003360542100,peripheral,0.4663,124663
0,кандидат в курьеры,100000008254069100,peripheral,0.3505,9075
0,кандидат в курьеры,100000008730846100,consolidator,0.6905,1832
0,кандидат в курьеры,100000008379273100,transit,0.3941,171
0,кандидат в курьеры,100000008165763100,transit,0.6626,188882
0,кандидат в курьеры,100000001857829100,peripheral,0.3845,3996
0,кандидат в курьеры,100000008466579100,distributor,0.6847,6064
0,кандидат в курьеры,100000000437046100,coordinator,0.7883,36890
0,кандидат в курьеры,100000000331309100,distributor,0.681,27495
0,кандидат в курьеры,100000004070318100,distributor,0.6881,65292
1,точка сбора,100000002173161100,consolidator,0.9088,870874
1,точка сбора,100000003115284100,consolidator,1.0,849634
1,точка сбора,100000001567366100,consolidator,0.8445,824070
1,точка сбора,100000002894076100,consolidator,0.9049,822302
1,точка сбора,100000007939160100,consolidator,0.8365,795000
1,точка сбора,100000001411870100,consolidator,0.8039,783556
1,точка сбора,100000001072022100,consolidator,0.8969,747676
1,точка сбора,100000000706545100,consolidator,0.8962,730575
1,точка сбора,100000004979498100,consolidator,0.7684,684056
1,точка сбора,100000005183943100,consolidator,0.7632,680900
1,точка сбора,100000001527186100,consolidator,0.8716,678000
1,точка сбора,100000003404627100,consolidator,0.8677,614284
1,точка сбора,100000004015047100,consolidator,0.9302,585260
1,точка сбора,100000006889963100,consolidator,0.9289,533172
1,точка сбора,100000005660203100,consolidator,0.8453,522586
1,точка сбора,100000006972210100,consolidator,0.81,488775
1,точка сбора,100000004299488100,consolidator,0.842,416800
1,точка сбора,100000002838861100,consolidator,0.8566,403408
1,точка сбора,100000005778283100,consolidator,0.7916,346464
1,точка сбора,100000004948177100,consolidator,0.7316,343503
1,точка сбора,100000005382566100,consolidator,0.7221,339962
1,точка сбора,100000008751429100,consolidator,0.6756,323095
1,точка сбора,100000007055802100,consolidator,0.7913,254677
1,точка сбора,100000003071930100,consolidator,0.813,228378
1,точка сбора,100000008094734100,consolidator,0.7091,198794
1,точка сбора,100000003158727100,consolidator,0.7248,176618
1,точка сбора,100000002603769100,consolidator,0.6993,169726
1,точка сбора,100000002939838100,consolidator,0.7425,167403
1,точка сбора,100000004019124100,consolidator,0.5893,157360
1,точка сбора,100000001330685100,consolidator,0.7533,135739
1,точка сбора,100000005514161100,consolidator,0.7782,116169
1,точка сбора,100000004144536100,consolidator,0.571,113322
1,точка сбора,100000008516839100,consolidator,0.5588,101500
1,точка сбора,100000000011452100,consolidator,0.6495,76086
1,точка сбора,100000004071080100,consolidator,0.6885,71355
1,точка сбора,100000004759121100,consolidator,0.7261,68622
1,точка сбора,100000005668605100,consolidator,0.5245,63068
1,точка сбора,100000005546031100,consolidator,0.5547,50939
1,точка сбора,100000002718366100,consolidator,0.6993,50632
1,точка сбора,100000003004487100,consolidator,0.7003,48513
1,точка сбора,100000002645609100,consolidator,0.6274,47480
