level,list,gid,role,priority,seed_money
1,точка сбора,100000008560717100,consolidator,0.6861,46319
1,точка сбора,100000002973903100,consolidator,0.6006,43474
1,точка сбора,100000000661912100,consolidator,0.7109,38024
1,точка сбора,100000008144528100,consolidator,0.6306,36018
1,точка сбора,100000002679516100,consolidator,0.6167,35182
1,точка сбора,100000008213966100,consolidator,0.6917,34736
1,точка сбора,100000001253557100,consolidator,0.6413,33465
1,точка сбора,100000002704875100,consolidator,0.5892,31421
1,точка сбора,100000002398779100,consolidator,0.7229,30411
1,точка сбора,100000002605308100,consolidator,0.695,30010
1,точка сбора,100000002692750100,consolidator,0.6403,28263
1,точка сбора,100000002870463100,consolidator,0.6412,25343
1,точка сбора,100000004004621100,consolidator,0.5927,25304
1,точка сбора,100000007629096100,consolidator,0.6827,23851
1,точка сбора,100000000489417100,consolidator,0.6213,23494
1,точка сбора,100000005493505100,consolidator,0.4885,23100
1,точка сбора,100000001126374100,consolidator,0.643,20352
1,точка сбора,100000003134934100,consolidator,0.6413,20014
1,точка сбора,100000008111003100,consolidator,0.6574,15807
1,точка сбора,100000004486525100,consolidator,0.6551,13366
1,точка сбора,100000004962193100,consolidator,0.6013,10578
1,точка сбора,100000008244300100,consolidator,0.5525,9130
1,точка сбора,100000002443664100,consolidator,0.6393,8870
1,точка сбора,100000003747133100,consolidator,0.6613,8602
1,точка сбора,100000003068941100,consolidator,0.5984,7327
1,точка сбора,100000007594394100,consolidator,0.7263,7106
1,точка сбора,100000000332284100,consolidator,0.6514,6539
1,точка сбора,100000005857058100,consolidator,0.5128,5459
1,точка сбора,100000001303311100,consolidator,0.6439,4294
1,точка сбора,100000003834495100,consolidator,0.6385,4209
1,точка сбора,100000007998965100,consolidator,0.664,3461
1,точка сбора,100000008324800100,consolidator,0.6492,3279
1,точка сбора,100000003111305100,consolidator,0.616,3103
1,точка сбора,100000007229557100,consolidator,0.6349,2934
1,точка сбора,100000005610717100,consolidator,0.6417,2753
1,точка сбора,100000005830339100,consolidator,0.6383,2360
1,точка сбора,100000002547110100,consolidator,0.6312,2351
1,точка сбора,100000002793881100,consolidator,0.6306,2194
1,точка сбора,100000003249054100,consolidator,0.5911,1988
1,точка сбора,100000008730846100,consolidator,0.6905,1832
1,точка сбора,100000008546855100,consolidator,0.5756,1519
1,точка сбора,100000005942793100,consolidator,0.4895,1507
1,точка сбора,100000002448088100,consolidator,0.5408,1344
1,точка сбора,100000000646541100,consolidator,0.4501,1270
1,точка сбора,100000002956769100,consolidator,0.6286,1226
1,точка сбора,100000001633685100,consolidator,0.4749,1097
1,точка сбора,100000002849158100,consolidator,0.706,1093
1,точка сбора,100000003157679100,consolidator,0.6198,1037
1,точка сбора,100000002369874100,consolidator,0.6219,1019
1,точка сбора,100000003741418100,consolidator,0.6073,996
1,точка сбора,100000002945626100,consolidator,0.6209,971
1,точка сбора,100000001282143100,consolidator,0.6432,858
1,точка сбора,100000001875239100,consolidator,0.6234,806
1,точка сбора,100000002736316100,consolidator,0.5468,784
1,точка сбора,100000001330595100,consolidator,0.543,744
1,точка сбора,100000003159641100,consolidator,0.6184,720
1,точка сбора,100000001689968100,consolidator,0.5532,635
1,точка сбора,100000001884825100,consolidator,0.604,394
1,точка сбора,100000003037476100,consolidator,0.4693,259
1,точка сбора,100000002883402100,consolidator,0.6025,235
1,точка сбора,100000004652395100,consolidator,0.3902,163
1,точка сбора,100000003031003100,consolidator,0.5922,137
1,точка сбора,100000001887715100,consolidator,0.6993,112
1,точка сбора,100000003230328100,consolidator,0.3397,53
2,цепочка наслоения,100000001732159100,transit,0.8258,2378100
2,цепочка наслоения,100000008637537100,transit,0.6375,614600
2,цепочка наслоения,100000008314203100,transit,0.5168,382076
2,цепочка наслоения,100000008736940100,transit,0.5619,349756
2,цепочка наслоения,100000008571433100,transit,0.4612,342028
2,цепочка наслоения,100000005456919100,transit,0.4974,326558
2,цепочка наслоения,100000002738256100,transit,0.4271,146779
2,цепочка наслоения,100000005519998100,transit,0.4739,11839
2,цепочка наслоения,100000001808684100,transit,0.2933,11616
2,цепочка наслоения,100000004336312100,transit,0.4364,9269
2,цепочка наслоения,100000004697956100,transit,0.2077,2400
2,цепочка наслоения,100000003934614100,transit,0.3198,548
2,цепочка наслоения,100000004707703100,transit,0.6005,239278
2,цепочка наслоения,100000002796853100,transit,0.4285,173561
2,цепочка наслоения,100000008650785100,transit,0.4497,83193
2,цепочка наслоения,100000005519347100,transit,0.436,73098
2,цепочка наслоения,100000003975102100,transit,0.3549,25648
2,цепочка наслоения,100000004135268100,transit,0.7346,1210779
2,цепочка наслоения,100000005584222100,transit,0.5634,190618
2,цепочка наслоения,100000002781227100,transit,0.5258,185266
2,цепочка наслоения,100000006069103100,transit,0.5588,127766
2,цепочка наслоения,100000000201868100,transit,0.4599,89910
2,цепочка наслоения,100000008659445100,transit,0.3773,79624
2,цепочка наслоения,100000004221668100,transit,0.484,73649
2,цепочка наслоения,100000001382002100,transit,0.3965,54401
2,цепочка наслоения,100000005171642100,transit,0.4569,45199
2,цепочка наслоения,100000003509750100,transit,0.383,19750
2,цепочка наслоения,100000008522127100,transit,0.2114,0
3,координатор,100000003684369100,coordinator,0.8333,500392
3,координатор,100000004156082100,coordinator,0.8037,64299
3,координатор,100000008477350100,coordinator,0.7897,40939
3,координатор,100000000437046100,coordinator,0.7883,36890
3,координатор,100000008603629100,coordinator,0.7859,33165
3,координатор,100000008346837100,coordinator,0.7573,13601
3,координатор,100000003016635100,coordinator,0.6652,106066
3,координатор,100000006866783100,coordinator,0.6307,38422
4,получатель,100000002173161100,consolidator,0.9088,870874
4,получатель,100000001567366100,consolidator,0.8445,824070
4,получатель,100000002894076100,consolidator,0.9049,822302
4,получатель,100000001411870100,consolidator,0.8039,783556
4,получатель,100000001072022100,consolidator,0.8969,747676
4,получатель,100000005523088100,terminal,0.5494,700000
4,получатель,100000005183943100,consolidator,0.7632,680900
4,получатель,100000001527186100,consolidator,0.8716,678000
4,получатель,100000003404627100,consolidator,0.8677,614284
