step,gid,role,gain,cumulative,money_stopped_kzt
1,100000004135268100,transit,0.0192,0.0192,1064000
2,100000001872484100,peripheral,0.0158,0.035,871400
3,100000002173161100,consolidator,0.0157,0.0508,870874
4,100000003115284100,consolidator,0.0151,0.0659,837639
5,100000001567366100,consolidator,0.0149,0.0808,824070
6,100000002894076100,consolidator,0.0149,0.0957,822302
7,100000007939160100,consolidator,0.0144,0.1101,795000
8,100000001411870100,consolidator,0.0142,0.1242,783556
9,100000001072022100,consolidator,0.0135,0.1377,747676
10,100000000706545100,consolidator,0.0131,0.1509,726821
11,100000005183943100,consolidator,0.0123,0.1632,680900
12,100000001527186100,consolidator,0.0123,0.1755,678000
13,100000003404627100,consolidator,0.0111,0.1866,614284
14,100000004015047100,consolidator,0.0106,0.1972,585260
15,100000006889963100,consolidator,0.0096,0.2068,533172
16,100000006518161100,transit,0.0095,0.2163,522586
17,100000006972210100,consolidator,0.0088,0.2251,488775
18,100000002565277100,terminal,0.0087,0.2338,483319
19,100000008723830100,transit,0.0082,0.242,454093
20,100000004394765100,peripheral,0.0082,0.2503,454035
21,100000004186824100,peripheral,0.0081,0.2584,450279
22,100000007908818100,peripheral,0.0076,0.266,418682
23,100000004299488100,consolidator,0.0073,0.2732,402205
24,100000002188829100,terminal,0.0072,0.2805,400000
25,100000002957306100,terminal,0.0072,0.2877,398490
26,100000002838861100,consolidator,0.0072,0.2949,398299
27,100000001929088100,terminal,0.0072,0.3021,396010
28,100000001530983100,peripheral,0.0071,0.3092,393443
29,100000007507343100,terminal,0.0067,0.3159,370000
30,100000008748408100,distributor,0.0065,0.3224,360000
